# Image: fd1440-minix.img (1474560 bytes)
# RunResult: {"executed":107917,"reason":"halt-spin-exhausted"}
# Counts: {"instruction":107916,"int":314,"trap":311,"io":981,"memWrite":1072,"intService":1}

## Section 1: Final IDT state (read from memory after boot)
Vector | Offset | Segment | Linear
   e8   |  10e8  |  f000   | f10e8
   e9   |  10e9  |  f000   | f10e9
   ea   |  10ea  |  f000   | f10ea
   eb   |  10eb  |  f000   | f10eb
   ec   |  10ec  |  f000   | f10ec
   ed   |  10ed  |  f000   | f10ed
   ee   |  10ee  |  f000   | f10ee
   ef   |  10ef  |  f000   | f10ef
   f0   |  10f0  |  f000   | f10f0
   f1   |  10f1  |  f000   | f10f1
   f2   |  10f2  |  f000   | f10f2
   f3   |  10f3  |  f000   | f10f3
   f4   |  10f4  |  f000   | f10f4
   f5   |  10f5  |  f000   | f10f5
   f6   |  10f6  |  f000   | f10f6
   f7   |  10f7  |  f000   | f10f7
   f8   |  10f8  |  f000   | f10f8
   f9   |  10f9  |  f000   | f10f9
   fa   |  10fa  |  f000   | f10fa
   fb   |  10fb  |  f000   | f10fb
   fc   |  10fc  |  f000   | f10fc
   fd   |  10fd  |  f000   | f10fd
   fe   |  10fe  |  f000   | f10fe
   ff   |  10ff  |  f000   | f10ff

## Section 2: IVT-write events for kernel-installed vectors
Total IVT writes: 1072
intService event at global index: 98874
  [pre-svc  idx=10] vec=00 OFF B addr=00000 val=00
  [pre-svc  idx=11] vec=00 OFF B addr=00001 val=10
  [pre-svc  idx=13] vec=00 SEG B addr=00002 val=00
  [pre-svc  idx=14] vec=00 SEG B addr=00003 val=f0
  [pre-svc  idx=28] vec=02 OFF B addr=00008 val=02
  [pre-svc  idx=29] vec=02 OFF B addr=00009 val=10
  [pre-svc  idx=31] vec=02 SEG B addr=0000a val=00
  [pre-svc  idx=32] vec=02 SEG B addr=0000b val=f0
  [pre-svc  idx=82] vec=08 OFF B addr=00020 val=08
  [pre-svc  idx=83] vec=08 OFF B addr=00021 val=10
  [pre-svc  idx=85] vec=08 SEG B addr=00022 val=00
  [pre-svc  idx=86] vec=08 SEG B addr=00023 val=f0
  [pre-svc  idx=91] vec=09 OFF B addr=00024 val=09
  [pre-svc  idx=92] vec=09 OFF B addr=00025 val=10
