# Image: fd1440-minix.img (1474560 bytes)
# RunResult: {"executed":107917,"reason":"halt-spin-exhausted"}
# Counts: {"instruction":107916,"int":314,"trap":311,"io":981,"memWrite":1072,"intService":1}

## Section 1: Final IDT state (read from memory after boot)
Vector | Offset | Segment | Linear
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=9400 CX=0607 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0607 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=9800 CX=0609 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0609 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=9c00 CX=060b DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=060b DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=a000 CX=060d DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=060d DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=a400 CX=060f DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=060f DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=a800 CX=0611 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0611 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=ac00 CX=0701 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0701 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=b000 CX=0703 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0703 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=b400 CX=0705 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0705 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=b800 CX=0707 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0707 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=bc00 CX=0709 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0709 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=c000 CX=070b DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=070b DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=c400 CX=070d DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=070d DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=c800 CX=070f DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=070f DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=cc00 CX=0711 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0711 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=d000 CX=0701 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0701 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=d400 CX=0703 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0703 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=d800 CX=0705 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0705 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=dc00 CX=0707 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0707 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=e000 CX=0709 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0709 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=e400 CX=070b DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=070b DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=e800 CX=070d DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=070d DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=ec00 CX=070f DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=070f DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=f000 CX=0711 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0711 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=f400 CX=0801 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0801 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=f800 CX=0803 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0803 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=fc00 CX=0805 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0805 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=0000 CX=0807 DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0807 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=0400 CX=0809 DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0809 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=0800 CX=080b DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=080b DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=0c00 CX=080d DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=080d DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=1000 CX=080f DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=080f DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=1400 CX=0811 DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0811 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=1800 CX=0801 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0801 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=1c00 CX=0803 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0803 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=2000 CX=0805 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0805 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=2400 CX=0807 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0807 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=2800 CX=0809 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0809 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=2c00 CX=080b DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=080b DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=3000 CX=080d DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=080d DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=3400 CX=080f DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=080f DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=3800 CX=0811 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0811 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=3c00 CX=0901 DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0901 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=4000 CX=0903 DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0903 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=4400 CX=0905 DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0905 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=4800 CX=0907 DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0907 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=4c00 CX=0909 DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0909 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=5000 CX=090b DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=090b DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=5400 CX=090d DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=090d DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=5800 CX=090f DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=090f DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=5c00 CX=0911 DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0911 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=6000 CX=0901 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0901 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=6400 CX=0903 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0903 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=6800 CX=0905 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0905 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=6c00 CX=0907 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0907 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=7000 CX=0909 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0909 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=7400 CX=090b DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=090b DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=7800 CX=090d DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=090d DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=7c00 CX=090f DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=090f DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=8000 CX=0911 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0911 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=8400 CX=0a01 DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a01 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=8800 CX=0a03 DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a03 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=8c00 CX=0a05 DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a05 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=9000 CX=0a07 DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a07 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=9400 CX=0a09 DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a09 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=9800 CX=0a0b DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a0b DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=9c00 CX=0a0d DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a0d DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=a000 CX=0a0f DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a0f DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=a400 CX=0a11 DX=0000 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a11 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=a800 CX=0a01 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a01 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=ac00 CX=0a03 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a03 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=b000 CX=0a05 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a05 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=b400 CX=0a07 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a07 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=b800 CX=0a09 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a09 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=bc00 CX=0a0b DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a0b DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=c000 CX=0a0d DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a0d DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=c400 CX=0a0f DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a0f DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=c800 CX=0a11 DX=0100 DS=9000 ES=1000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0a11 DX=0100 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=0d BX=0007 CX=0000 DX=2400 DS=0120 ES=1400
  TRAP at=f1010 vec=10 AH=0e AL=0a BX=0007 CX=0000 DX=2400 DS=0120 ES=1400
  TRAP at=f1010 vec=10 AH=0e AL=45 BX=0007 CX=0000 DX=2400 DS=0120 ES=1400
  TRAP at=f1010 vec=10 AH=0e AL=4c BX=0007 CX=0000 DX=2400 DS=0120 ES=1400
  TRAP at=f1010 vec=10 AH=0e AL=4b BX=0007 CX=0000 DX=2400 DS=0120 ES=1400
  TRAP at=f1010 vec=10 AH=0e AL=53 BX=0007 CX=0000 DX=2400 DS=0120 ES=1400
  TRAP at=f1010 vec=10 AH=0e AL=20 BX=0007 CX=0000 DX=2400 DS=0120 ES=1400
  TRAP at=f1010 vec=10 AH=0e AL=53 BX=0007 CX=0000 DX=2400 DS=0120 ES=1400
  TRAP at=f1010 vec=10 AH=0e AL=65 BX=0007 CX=0000 DX=2400 DS=0120 ES=1400
  TRAP at=f1010 vec=10 AH=0e AL=74 BX=0007 CX=0000 DX=2400 DS=0120 ES=1400
  TRAP at=f1010 vec=10 AH=0e AL=75 BX=0007 CX=0000 DX=2400 DS=0120 ES=1400
  TRAP at=f1010 vec=10 AH=0e AL=70 BX=0007 CX=0000 DX=2400 DS=0120 ES=1400
  TRAP at=f1010 vec=10 AH=0e AL=20 BX=0007 CX=0000 DX=2400 DS=0120 ES=1400
  TRAP at=f1010 vec=10 AH=0f AL=00 BX=0078 CX=0000 DX=2400 DS=0100 ES=1400
  TRAP at=f1012 vec=12 AH=01 AL=00 BX=0078 CX=0002 DX=0000 DS=0100 ES=0120
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0006 DX=0000 DS=9020 ES=0120
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=000a DX=0000 DS=9020 ES=0120
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=000a DX=0000 DS=9020 ES=0120
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=000a DX=0000 DS=9020 ES=0120
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=000a DX=0000 DS=9020 ES=0120
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=000a DX=0000 DS=9020 ES=0120
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=000a DX=0000 DS=9020 ES=0120
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=000a DX=0000 DS=9020 ES=0120
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=000a DX=0000 DS=9020 ES=0120
  TRAP at=f1010 vec=10 AH=0e AL=46 BX=0007 CX=000a DX=0000 DS=9020 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=48 BX=0007 CX=0000 DX=0000 DS=0050 ES=0120
  TRAP at=f1012 vec=12 AH=01 AL=00 BX=00ff CX=0000 DX=0000 DS=0100 ES=0120
  TRAP at=f1010 vec=10 AH=0e AL=74 BX=0007 CX=0004 DX=0efa DS=1400 ES=0090
  TRAP at=f1010 vec=10 AH=0e AL=30 BX=0007 CX=0004 DX=0e03 DS=1404 ES=0330
  TRAP at=f1010 vec=10 AH=0e AL=33 BX=0007 CX=0004 DX=0e03 DS=1404 ES=0330
  TRAP at=f1010 vec=10 AH=0e AL=33 BX=0007 CX=0004 DX=0e30 DS=1404 ES=0330
  TRAP at=f1010 vec=10 AH=0e AL=30 BX=0007 CX=0004 DX=0e30 DS=1404 ES=0330
  TRAP at=f1010 vec=10 AH=0e AL=20 BX=0007 CX=0004 DX=0efa DS=1404 ES=0330
  TRAP at=f1010 vec=10 AH=0e AL=66 BX=0007 CX=7c80 DX=0efa DS=1400 ES=0330
  TRAP at=f1010 vec=10 AH=0e AL=31 BX=0007 CX=7c04 DX=0e12 DS=22fe ES=122a
  TRAP at=f1010 vec=10 AH=0e AL=32 BX=0007 CX=7c04 DX=0e12 DS=22fe ES=122a
  TRAP at=f1010 vec=10 AH=0e AL=32 BX=0007 CX=7c04 DX=0e2a DS=22fe ES=122a
  TRAP at=f1010 vec=10 AH=0e AL=41 BX=0007 CX=7c04 DX=0e2a DS=22fe ES=122a
  TRAP at=f1010 vec=10 AH=0e AL=20 BX=0007 CX=7c80 DX=0efa DS=22fe ES=122a
  TRAP at=f1010 vec=10 AH=0e AL=64 BX=0007 CX=07c8 DX=0efa DS=22fe ES=122a
  TRAP at=f1010 vec=10 AH=0e AL=31 BX=0007 CX=2804 DX=0e19 DS=2ac6 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=39 BX=0007 CX=2804 DX=0e19 DS=2ac6 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=46 BX=0007 CX=2804 DX=0ef2 DS=2ac6 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=32 BX=0007 CX=2804 DX=0ef2 DS=2ac6 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=20 BX=0007 CX=2800 DX=0efa DS=2ac6 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=49 BX=0007 CX=0000 DX=1fc0 DS=19f2 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=4e BX=0007 CX=0000 DX=1fc0 DS=19f2 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=54 BX=0007 CX=0000 DX=1fc0 DS=19f2 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=20 BX=0007 CX=0000 DX=1fc0 DS=19f2 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=66 BX=0007 CX=0000 DX=0003 DS=19f2 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=30 BX=0007 CX=0000 DX=0002 DS=19f2 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=30 BX=0007 CX=0000 DX=0001 DS=19f2 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=32 BX=0007 CX=0000 DX=0000 DS=19f2 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=20 BX=0007 CX=0000 DX=0000 DS=19f2 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=53 BX=0007 CX=0000 DX=0000 DS=19f2 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=54 BX=0007 CX=0000 DX=0000 DS=19f2 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=41 BX=0007 CX=0000 DX=0000 DS=19f2 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=52 BX=0007 CX=0000 DX=0000 DS=19f2 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=54 BX=0007 CX=0000 DX=0000 DS=19f2 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=0d BX=0007 CX=0000 DX=0000 DS=19f2 ES=19f2
  TRAP at=f1010 vec=10 AH=0e AL=0a BX=0007 CX=0000 DX=0000 DS=19f2 ES=19f2

## Section 5: intService events + handler trace
---- intService at index 98874 (50 before / 200 after) ----
  [pre i=98824] INSTR 0330:9f7c (0d27c) bytes=5d 5f 5e e9 2b fc AX=0018 BX=0344 CX=0008 DX=19f2 SI=4080 DI=0072 BP=4e38 SP=4e38 DS=19f2 ES=19f2 SS=19f2 F=f202
  [pre i=98825] INSTR 0330:9f7d (0d27d) bytes=5f 5e e9 2b fc 56 AX=0018 BX=0344 CX=0008 DX=19f2 SI=4080 DI=0072 BP=4e44 SP=4e3a DS=19f2 ES=19f2 SS=19f2 F=f202
  [pre i=98826] INSTR 0330:9f7e (0d27e) bytes=5e e9 2b fc 56 55 AX=0018 BX=0344 CX=0008 DX=19f2 SI=4080 DI=0078 BP=4e44 SP=4e3c DS=19f2 ES=19f2 SS=19f2 F=f202
  [pre i=98827] INSTR 0330:9f7f (0d27f) bytes=e9 2b fc 56 55 89 AX=0018 BX=0344 CX=0008 DX=19f2 SI=0072 DI=0078 BP=4e44 SP=4e3e DS=19f2 ES=19f2 SS=19f2 F=f202
  [pre i=98828] INSTR 0330:9bad (0cead) bytes=57 55 89 e5 1e 8b AX=0018 BX=0344 CX=0008 DX=19f2 SI=0072 DI=0078 BP=4e44 SP=4e3e DS=19f2 ES=19f2 SS=19f2 F=f202
  [pre i=98829] INSTR 0330:9bae (0ceae) bytes=55 89 e5 1e 8b 5e AX=0018 BX=0344 CX=0008 DX=19f2 SI=0072 DI=0078 BP=4e44 SP=4e3c DS=19f2 ES=19f2 SS=19f2 F=f202
  [pre i=98830] INSTR 0330:9baf (0ceaf) bytes=89 e5 1e 8b 5e 06 AX=0018 BX=0344 CX=0008 DX=19f2 SI=0072 DI=0078 BP=4e44 SP=4e3a DS=19f2 ES=19f2 SS=19f2 F=f202
  [pre i=98831] INSTR 0330:9bb1 (0ceb1) bytes=1e 8b 5e 06 8b 07 AX=0018 BX=0344 CX=0008 DX=19f2 SI=0072 DI=0078 BP=4e3a SP=4e3a DS=19f2 ES=19f2 SS=19f2 F=f202
  [pre i=98832] INSTR 0330:9bb2 (0ceb2) bytes=8b 5e 06 8b 07 f7 AX=0018 BX=0344 CX=0008 DX=19f2 SI=0072 DI=0078 BP=4e3a SP=4e38 DS=19f2 ES=19f2 SS=19f2 F=f202
  [pre i=98833] INSTR 0330:9bb5 (0ceb5) bytes=8b 07 f7 67 06 03 AX=0018 BX=4080 CX=0008 DX=19f2 SI=0072 DI=0078 BP=4e3a SP=4e38 DS=19f2 ES=19f2 SS=19f2 F=f202
  [pre i=98834] INSTR 0330:9bb7 (0ceb7) bytes=f7 67 06 03 47 04 AX=0050 BX=4080 CX=0008 DX=19f2 SI=0072 DI=0078 BP=4e3a SP=4e38 DS=19f2 ES=19f2 SS=19f2 F=f202
  [pre i=98835] INSTR 0330:9bba (0ceba) bytes=03 47 04 03 47 10 AX=0190 BX=4080 CX=0008 DX=0000 SI=0072 DI=0078 BP=4e3a SP=4e38 DS=19f2 ES=19f2 SS=19f2 F=f202
